n.gram,freq
thank god,1557
think good,1556
want make,1556
help us,1552
get go,1551
just wanted,1549
r u,1549
just think,1546
come see,1543
just really,1537
school district,1536
will said,1536
years later,1536
never get,1534
way back,1534
now back,1533
everyone else,1532
can said,1531
another one,1530
like something,1529
oh well,1528
just another,1527
nothing like,1527
make feel,1526
get right,1522
beautiful day,1520
late night,1519
men women,1518
much can,1518
get just,1514
oh yeah,1513
get like,1512
every one,1511
good said,1509
going make,1506
first half,1502
think get,1501
year will,1500
make like,1496
want want,1496
way go,1493
will follow,1493
u like,1491
can come,1488
like us,1487
time just,1487
family friends,1476
time one,1475
las vegas,1472
like new,1471
spokesman said,1471
give us,1468
can will,1467
got one,1466
one new,1466
real life,1460
feel good,1457
happy hour,1453
just let,1453
can follow,1451
get free,1448
know love,1445
ohio state,1442
barack obama,1440
executive director,1440
just will,1440
just keep,1439
happy year,1435
will ever,1435
good idea,1434
like u,1433
kansas city,1432
whole thing,1430
like now,1429
will play,1427
coming back,1426
one many,1423
parking lot,1422
two two,1420
day one,1419
help get,1419
one point,1419
since last,1419
still get,1418
thank u,1416
will love,1416
will start,1416
can give,1415
going see,1410
will better,1410
can us,1408
love see,1405
hope can,1404
six months,1404
take place,1402
wall street,1401
never seen,1399
get together,1397
just something,1395
think people,1394
just first,1391
just us,1391
first game,1387
just just,1385
know u,1385
something else,1384
really know,1383
well just,1383
came back,1382
now like,1382
early morning,1381
happy friday,1381
like much,1381
can even,1379
u r,1379
will can,1377
follow please,1376
first season,1371
way can,1371
second half,1370
black white,1369
u ur,1368
get good,1366
two year,1365
last one,1364
friends family,1362
see soon,1362
think time,1362
also will,1360
can please,1357
hope get,1356
work work,1356
will look,1350
know much,1349
makes feel,1349
percent year,1349
thanks great,1349
school year,1348
will now,1347
old man,1346
get going,1345
play game,1344
three days,1344
take look,1343
know said,1340
love like,1340
get people,1337
like day,1337
now one,1337
hunger games,1336
maybe just,1336
one three,1336
make sense,1334
time new,1334
months ago,1331
north carolina,1331
see one,1331
couple weeks,1330
need go,1330
next month,1328
regular season,1323
best way,1320
get day,1320
time can,1319
people make,1318
back time,1317
back work,1317
next years,1316
get away,1315
will u,1315
even better,1312
one go,1312
know want,1310
got new,1306
three times,1306
said new,1305
will try,1302
years said,1302
go sleep,1300
just getting,1300
now go,1299
us said,1298
first quarter,1297
great night,1297
even one,1295
just last,1295
said like,1295
good people,1291
know good,1291
will good,1288
just home,1285
can play,1284
like think,1284
said director,1284
feel free,1282
just take,1282
find way,1280
just around,1280
long ago,1280
spent time,1280
will open,1277
can people,1276
just work,1276
good things,1273
g g,1272
middle school,1272
b c,1271
first ever,1269
living room,1269
two hours,1269
happy mothers,1268
going going,1264
first years,1263
can never,1262
get will,1262
read book,1262
good enough,1261
one us,1261
like little,1259
like really,1259
come get,1256
time like,1255
make money,1252
will week,1252
one make,1251
oh god,1250
several years,1250
sound like,1250
time now,1250
just enough,1249
three months,1249
want one,1249
even like,1248
one night,1248
back said,1247
happy everyone,1246
see u,1245
god us,1243
day get,1242
got home,1239
ready go,1239
now said,1238
bring back,1237
can better,1236
will say,1236
lol u,1235
family members,1234
wanna go,1233
ever seen,1232
time make,1229
even get,1228
just u,1227
said time,1227
state university,1223
keep going,1221
good work,1220
us can,1220
anything else,1218
going now,1217
try get,1216
can feel,1215
olive oil,1214
think really,1214
also new,1213
best can,1213
also one,1212
great way,1212
chief executive,1211
hope everyone,1210
long day,1210
u love,1210
many will,1208
may may,1208
time back,1208
will people,1207
can good,1206
wait get,1206
brand new,1205
need new,1204
end day,1203
school school,1203
able get,1202
well said,1201
can want,1200
can without,1200
little time,1197
time work,1197
know time,1196
love new,1196
mitt romney,1196
sounds good,1196
will become,1196
two people,1191
make day,1190
t shirt,1190
world war,1190
blog post,1189
love one,1189
end year,1188
make good,1188
said president,1188
things can,1188
going one,1187
think said,1187
today will,1187
just away,1186
like make,1185
need make,1182
time see,1182
two months,1182
will way,1182
can really,1181
god bless,1180
really said,1180
u fffd,1180
like way,1179
people need,1179
say will,1179
rt love,1178
years now,1178
us get,1176
tomorrow night,1175
go school,1174
will two,1174
state said,1173
u t,1172
hope good,1171
let get,1170
like go,1169
will probably,1169
recent years,1168
ever since,1166
know think,1165
lot time,1165
president barack,1165
will today,1165
went back,1162
also like,1160
get now,1159
cell phone,1157
get way,1156
time day,1156
always good,1155
get know,1155
last minute,1154
right time,1154
facebook page,1153
said just,1153
time since,1152
will show,1152
will tomorrow,1152
day work,1151
many can,1151
never never,1151
great today,1148
work day,1147
people see,1146
really love,1146
chief officer,1144
first three,1142
many many,1142
will much,1142
now going,1140
can change,1138
go away,1138
will still,1138
really think,1137
will tell,1137
police department,1136
old school,1133
take back,1133
go one,1132
people work,1132
like old,1131
couple days,1130
day just,1130
can keep,1128
hip hop,1128
said last,1128
see get,1128
good will,1126
along way,1125
hope soon,1125
see people,1125
will pay,1125
associated press,1124
love just,1124
take away,1124
u just,1124
yet another,1124
thanks love,1123
anyone know,1121
far away,1120
hard time,1119
just trying,1119
one really,1119
people love,1119
get started,1118
new followers,1118
one life,1118
right said,1118
federal government,1117
one good,1114
president said,1114
still like,1114
day week,1113
good just,1113
see new,1112
see us,1112
big deal,1111
first first,1111
said people,1110
first second,1109
first thing,1108
will bring,1108
something new,1107
like many,1106
new said,1106
live life,1105
will likely,1105
like right,1104
now new,1104
one game,1104
going time,1103
us will,1103
said year,1102
best thing,1101
last said,1101
right right,1099
will place,1099
work done,1099
head coach,1098
going take,1096
just found,1096
across country,1095
good way,1095
lot said,1094
thanks sharing,1093
great work,1092
young people,1092
can much,1090
need one,1089
follow us,1088
make difference,1088
see like,1088
want like,1088
get u,1087
maybe will,1087
every every,1086
just look,1086
need know,1086
can things,1085
great see,1084
new album,1084
will win,1084
go said,1083
things get,1082
u want,1082
get much,1081
well known,1080
sometimes just,1079
love life,1078
think much,1077
will happen,1076
like back,1075
will use,1075
one know,1074
good see,1072
know now,1072
merry christmas,1072
please us,1071
police officers,1071
long way,1070
st county,1070
make happen,1069
good get,1068
jesus christ,1068
will change,1066
want just,1065
can think,1064
one love,1064
can new,1063
dont know,1062
u will,1062
things will,1061
look good,1060
love can,1060
gonna get,1059
part time,1059
u follow,1059
go work,1058
one see,1058
u lol,1058
come home,1057
just thought,1057
way said,1057
just feel,1056
just things,1056
never thought,1056
last days,1055
can way,1054
just put,1054
just great,1053
just started,1053
really one,1053
second time,1053
see next,1053
think need,1053
well done,1053
every night,1052
much much,1052
three four,1052
one now,1051
new years,1048
said can,1048
say like,1048
couple years,1047
still time,1047
trying make,1047
can imagine,1043
can look,1043
points rebounds,1043
really well,1042
two games,1040
u got,1040
right back,1038
can day,1037
go now,1037
might get,1037
thanks everyone,1037
can put,1036
general manager,1036
get rid,1036
last summer,1036
like love,1036
never heard,1036
time around,1034
spring break,1033
first will,1032
little girl,1032
good u,1031
three year,1031
well one,1031
now see,1030
get little,1027
good times,1027
will even,1027
need can,1026
people one,1025
time last,1025
week will,1025
new day,1024
said get,1024
go bed,1023
people around,1023
new times,1021
well can,1021
go ahead,1019
know really,1018
make make,1017
take one,1017
want something,1016
people really,1014
things going,1012
medical center,1011
middle class,1011
monday night,1011
day time,1010
one going,1009
several times,1009
just bit,1008
said state,1008
county office,1007
either way,1007
first new,1007
good can,1007
really see,1006
thanks support,1005
one man,1004
said said,1004
couple ago,1003
back day,1002
people go,1002
rose percent,1002
set aside,1002
city said,1001
never really,1001
want can,1000
one days,999
one right,999
think might,999
got good,997
get first,996
one side,996
put back,996
will life,996
get something,994
san jose,994
every week,993
rate percent,993
st charles,993
finally got,992
like work,992
make time,992
people time,992
things things,992
go way,991
going like,991
going tonight,991
made one,991
two will,989
one back,988
next two,987
might well,986
much just,986
two men,986
elementary school,985
hopefully will,985
know need,984
make look,984
will post,984
hope u,983
can right,982
make us,982
maybe can,982
spending time,982
think go,982
excited see,981
act like,977
big time,977
got today,976
love people,974
always get,973
day like,973
love will,973
many ways,973
new book,973
seem like,973
things happen,973
want back,973
awkward moment,971
look back,971
work said,971
fourth quarter,970
six years,970
something can,968
come true,967
can something,966
like great,966
police officer,966
will may,966
thursday night,965
year million,965
really hard,964
day u,963
school students,962
will great,962
past two,961
forward seeing,960
going today,960
just life,960
really time,960
said first,960
said two,960
work hard,960
can hear,959
life will,959
rt will,959
said going,959
county said,957
going day,957
like lol,957
might just,957
even just,955
running back,955
im going,954
past year,954
will well,954
day can,953
one top,953
says will,953
really great,952
things said,952
first last,951
pleaded guilty,951
way way,951
just give,950
new home,950
see tonight,950
thanks mention,950
took place,950
get things,948
get today,948
one big,948
follow u,947
just days,947
think better,946
think make,946
get chance,945
going work,944
good stuff,944
got get,944
pay attention,943
well good,942
will available,942
bay area,941
can life,941
go like,941
take get,941
make new,940
never one,940
know better,938
school board,937
believe will,936
work time,936
back forth,935
going just,935
said know,935
three weeks,935
u think,935
will receive,935
day said,934
getting back,934
u one,934
will long,933
like last,932
will another,932
even can,931
public schools,931
rt great,931
south africa,931
year new,931
just year,930
feel bad,929
just saying,929
never anything,929
well get,929
last three,928
sure can,928
week week,928
good today,927
rt like,927
health insurance,926
one even,926
gotta get,925
looking like,925
two time,925
will live,925
never like,924
new life,924
like lot,923
make get,923
people things,923
want said,923
will let,923
year one,923
good now,922
much will,922
rt get,922
hall fame,921
like man,921
really much,920
right away,920
u back,920
u go,920
get us,919
know well,919
school said,919
way home,919
will run,919
never said,918
yes yes,918
back one,917
st day,917
back school,916
god will,916
keep mind,916
will last,916
great deal,915
last weeks,915
also get,914
everything else,914
just come,913
just read,913
know make,913
like never,913
see will,913
lot things,912
think know,912
can read,911
company said,911
go follow,911
one direction,911
one great,911
just better,910
life life,910
rt day,910
second round,910
something said,910
things just,910
really go,909
well know,909
hope weekend,908
will want,908
big fan,906
last weekend,906
one world,906
social security,905
still love,905
think think,905
like want,904
thing ever,904
earlier year,903
follow twitter,903
hard get,903
people going,903
credit card,902
cuyahoga county,902
salt pepper,902
think something,902
want people,902
city hall,901
great week,901
peanut butter,901
take advantage,901
york times,901
around time,900
anyone can,898
think way,898
can buy,897
rt can,897
work get,897
one made,896
prime minister,896
chance win,895
get soon,895
african american,894
just thing,894
long enough,894
next one,894
new today,893
people come,893
say hi,893
u need,893
bin laden,892
new england,891
said also,891
attorney general,890
make work,890
rt u,890
already know,889
best friends,888
dining room,888
going well,888
something something,888
time people,888
can used,887
tuesday night,887
will later,887
blah blah,886
get want,886
like every,886
thing can,886
make said,884
many us,884
will free,884
work today,884
can always,883
now need,883
get next,882
got said,882
got time,882
home run,882
human rights,882
never go,882
next days,882
also can,881
gay marriage,881
go just,881
square feet,881
old new,880
going good,879
look see,879
rock roll,879
get job,878
life like,878
say just,877
get enough,876
justin bieber,876
like say,876
always like,875
feels good,875
time life,875
young man,874
half hour,873
new song,873
say one,873
say something,873
will tonight,873
got got,872
five year,871
game game,871
great show,871
rt new,870
square foot,870
thanks ff,870
want take,870
like year,869
can someone,868
per year,868
something wrong,868
sure get,868
well like,868
good know,867
best day,866
never ever,866
sunday night,866
like things,865
scored points,865
still one,865
time think,865
like even,864
us like,864
really going,863
work together,863
can anything,862
know go,862
rt good,862
phone call,861
day life,860
four year,860
jersey city,860
spread word,860
back now,859
can easily,859
just went,859
people us,859
time come,859
amp amp,858
civil rights,858
got first,857
next weeks,857
always one,856
much said,856
new just,856
new music,856
happy easter,855
back just,854
give away,854
just lol,854
best part,853
make happy,853
one next,853
san antonio,853
things life,853
little like,852
love song,852
people life,852
really bad,852
think right,852
came home,851
looking good,851
rt today,851
get make,848
orange county,848
well now,848
people world,847
two new,847
work will,847
next season,846
can little,845
people still,845
way will,845
ask questions,844
great people,844
like life,844
something just,844
good like,843
cake cake,842
said interview,842
make life,841
will begin,841
said good,840
west coast,840
will put,840
back soon,839
just old,839
last months,839
short term,839
still good,839
will years,839
de mayo,838
feeling like,838
left right,838
kind like,837
work can,837
attorney said,835
first said,835
best time,834
cinco de,834
day new,834
got work,834
lets go,834
see see,834
one got,833
right thing,833
time years,833
national day,832
tea party,832
get around,831
know say,831
major league,831
three one,830
days ago,829
just week,829
next door,829
think now,829
going next,828
still need,828
time take,828
good friend,827
just game,827
make can,827
said city,827
going right,826
make people,826
two things,826
day year,825
made day,824
even still,823
find one,823
man woman,823
someone like,823
will best,823
make way,822
new state,821
back get,820
please let,820
two said,820
anything like,819
people take,819
work well,818
hope better,817
little little,817
said still,817
year percent,817
gotta love,816
just left,816
really people,816
us one,816
go time,815
great things,815
three two,815
just fun,814
love get,814
new job,814
seemed like,814
way make,814
can start,813
u guys,813
may one,811
still going,811
can call,810
customer service,810
lot like,810
may day,810
said never,809
great new,808
can many,807
can love,805
civil war,805
know many,805
two later,805
can bring,804
see time,804
team will,804
time going,804
see just,803
know something,802
just show,801
just sure,801
working hard,801
five minutes,800
looking new,800
said police,800
well will,800
will right,800
news conference,799
said thursday,799
said tuesday,799
try make,799
us time,799
way much,799
director said,798
will miss,798
also time,796
day school,796
never forget,796
one little,796
happy happy,795
miss u,795
going try,794
good everyone,794
much one,794
harry potter,793
make decisions,793
trying find,793
want say,793
great one,792
just wanna,792
grocery store,791
just came,791
like today,791
now want,791
really nice,791
see said,791
tv show,791
wait till,791
new coming,790
also made,789
can talk,789
days week,789
hate people,789
like better,789
like need,789
make will,789
said today,789
since first,789
trying figure,789
will allow,789
one think,788
go will,787
never will,787
think great,787
hope one,786
good friends,785
one four,785
things go,785
three ago,785
declined comment,783
mental health,783
one years,783
state state,783
feel way,782
keep work,782
la la,782
make just,782
need time,782
gonna go,781
just today,781
u see,781
make things,780
will held,780
will home,780
get money,779
night night,779
will include,779
manager said,778
show tonight,778
check new,777
great idea,777
people much,777
something will,777
days later,776
friday saturday,776
way people,776
according report,775
cinco mayo,775
just many,775
one friends,775
something different,775
free agent,774
us back,774
going tomorrow,773
see tomorrow,773
can found,772
life just,772
breast cancer,771
just watched,771
lol just,771
need something,771
now u,771
opening day,771
day weekend,770
much now,770
rt one,770
im just,769
nearly years,769
never got,769
one hand,769
save money,769
time got,769
time something,769
making sure,768
day night,767
life can,767
like got,767
read books,767
best world,766
really make,766
said make,766
around like,765
best best,765
new can,765
start new,765
still said,765
will remain,765
lot work,764
great said,763
just tell,763
may will,763
oh yes,763
start day,763
t shirts,763
back like,762
like big,762
little one,762
game said,761
big big,760
also make,759
day go,759
new world,759
said made,759
said now,759
state will,759
told us,759
much work,758
need work,758
really wanted,758
said go,758
enough time,757
state law,757
stay home,757
time really,756
can know,755
love guys,755
make go,755
may well,754
s s,754
say say,754
will game,754
day tomorrow,753
number one,753
said want,753
per share,752
whole lot,752
cleveland ohio,751
fall asleep,751
got like,751
makes like,751
well time,751
rt people,750
will provide,750
im gonna,749
just play,749
time start,749
way life,749
different different,748
games season,748
got just,748
like someone,748
new show,748
spent years,748
spokeswoman said,748
u rt,748
authorities said,747
going happen,747
just someone,747
never see,747
state department,747
answer question,746
pretty cool,746
things done,746
two first,746
getting better,745
like first,745
made way,745
turn around,745
giving away,744
really can,744
got right,743
officials say,743
second year,743
better get,742
d d,742
game season,742
thanks shout,742
think things,742
took time,742
one else,741
people even,741
people good,741
see go,741
seven years,741
ever get,740
just done,740
make great,740
real world,740
said many,740
will many,740
great last,739
much money,739
one today,739
wednesday night,739
whether will,739
help people,738
may just,738
know got,737
live music,737
lot fun,737
one want,737
think got,737
also good,736
fell percent,735
go can,735
new week,735
say love,735
much less,734
office said,734
come visit,733
now think,733
take long,733
u good,732
can well,731
day going,731
game tonight,731
get life,731
never back,731
one left,731
first week,730
just big,730
said monday,730
want hear,729
years prison,729
going home,728
good right,728
need just,728
third quarter,728
well well,728
got go,727
waste time,727
year two,727
bake minutes,726
just case,726
time right,726
can live,725
think best,725
know still,724
like always,724
school will,724
back can,723
got last,723
got now,723
just everything,723
may get,723
move forward,723
one take,723
tomorrow will,723
going great,722
home work,722
one every,722
way like,722
can send,721
little things,721
need now,721
first book,720
plain dealer,720
small business,720
world will,720
years one,720
east coast,719
two different,719
also two,718
need back,718
year first,718
always wanted,717
get really,717
like two,717
looks good,717
one never,717
now work,716
better better,715
can win,715
one well,715
will leave,715
good back,714
new people,714
old old,714
past months,714
reading book,714
time u,714
will around,714
world series,714
come said,713
medium heat,713
new friends,713
thanks coming,713
just best,712
louis county,712
oh just,712
one u,712
will face,712
facebook twitter,711
know anything,711
love time,711
one hour,711
time us,711
nothing else,710
three games,710
today good,710
board members,709
get well,709
south carolina,709
team said,709
thing said,709
us today,709
will meet,709
just wait,708
love hear,708
will million,708
day two,707
enough make,707
new law,707
year just,707
least two,706
really now,706
take home,706
task force,706
just call,705
just heard,705
much get,705
now make,705
home said,704
last fall,704
please tell,704
public safety,704
said spokesman,704
weight loss,704
will away,704
will future,704
buy one,702
music video,702
new now,702
things make,702
across street,701
department said,701
today tomorrow,701
always always,700
back new,700
even time,700
love way,700
win game,700
answer questions,699
city will,699
even said,699
hours day,699
just realized,699
long can,699
people way,699
right just,699
still will,699
home home,698
web site,698
round pick,697
twitter account,697
good great,696
just find,696
just watching,696
just years,696
life one,696
can stop,695
new like,695
still think,695
first get,694
new time,694
come one,693
find new,693
got little,693
just ago,693
never even,693
city officials,692
even will,692
got done,692
makes want,692
new old,692
now really,692
ten years,692
just hit,691
looking back,691
today one,691
bottom line,690
like else,690
like well,690
locker room,690
people never,690
around corner,689
better said,689
can done,689
good go,689
many one,689
need like,689
new things,689
nothing can,689
really enjoyed,689
things people,689
time home,689
even now,688
get year,688
just three,688
one place,688
one say,688
side side,688
still just,688
years since,688
god god,687
just minutes,687
book read,686
going year,686
life good,686
say anything,686
can eat,685
little said,685
many different,685
said wednesday,685
time good,685
working new,685
bad news,684
natural gas,684
nice see,684
team team,684
work just,684
always something,683
give time,683
rt know,683
say good,683
see now,683
worst ever,683
just mean,682
leave comment,682
now good,682
percent said,682
said u,682
second third,682
will stop,682
game will,681
people follow,681
made like,680
always love,679
much needed,679
need take,679
back next,678
billion year,678
g mg,678
way one,678
just never,677
left behind,677
year school,677
point guard,676
see much,676
think ever,676
way around,676
world ii,676
back see,675
help make,675
know way,675
love music,675
may like,675
said told,675
back will,674
first step,674
going bed,674
love know,674
make something,674
people feel,674
red sox,674
someone can,674
us just,674
war ii,674
can learn,673
four five,673
hell yeah,673
last game,673
new way,673
one might,673
rt want,673
like take,672
make right,672
think lot,672
ur u,672
family said,671
just well,671
long will,671
time today,671
day good,670
get game,670
know feel,670
said chief,670
tell story,670
two children,670
way work,670
air force,669
big day,669
enough get,669
even think,669
just run,669
thank support,669
time two,669
first team,668
heart attack,668
last will,668
may need,668
said company,668
said see,668
take day,668
billion billion,667
hope enjoy,667
looking seeing,667
oh wait,667
will state,667
can home,666
going new,666
like fun,666
thank us,666
almost like,665
know things,665
new twitter,665
call us,664
might want,664
never say,664
way just,664
will fall,664
will three,664
can add,663
got see,663
maybe even,663
wanna see,663
want give,663
just every,662
one work,662
police chief,662
year man,662
first series,661
see going,661
still go,661
u make,661
can watch,660
get lot,660
just bad,660
make decision,660
one month,660
went well,660
just looking,659
still work,659
will things,659
like best,658
might like,658
one biggest,658
public health,658
still got,658
chief said,657
like getting,657
make even,657
said executive,657
spend money,657
wanted go,657
great tonight,656
just told,656
much easier,656
report said,656
u much,656
wanted make,656
believe can,655
front door,655
love show,655
made first,655
now people,655
said take,655
see things,655
see ya,655
state police,655
wait next,655
can two,654
eight years,654
will every,654
years years,654
one away,653
get sleep,652
go day,652
just might,652
please know,652
said back,651
saturday morning,651
hey u,650
lol rt,650
rt thanks,650
wanted know,650
year time,650
years will,650
hey thanks,649
keep good,649
sure one,649
time first,649
want now,649
almost every,648
came across,648
going will,648
time even,648
information call,647
think us,647
time family,647
today get,647
one long,646
things way,646
want work,646
get head,645
many like,645
road trip,645
sure like,645
want come,645
want us,645
will return,645
better now,644
follow will,644
know see,644
might one,644
thank everyone,644
two day,644
will season,644
will something,644
will stay,644
dont like,643
good start,643
got great,643
much going,643
can happen,642
hard find,641
like home,641
one home,641
really cool,641
small town,641
will going,641
just use,640
love us,640
old fashioned,640
one much,640
percent last,640
will turn,640
another year,639
get lol,639
just happy,639
really feel,639
last first,638
last games,638
take said,638
also people,637
can become,637
give back,637
great game,637
hey follow,637
let alone,637
make much,637
make u,637
people live,637
phone calls,637
yet still,637
first class,636
get real,636
make want,636
many new,636
said friday,636
said much,635
soon will,635
thought going,635
will lead,635
hope like,634
including one,634
know someone,634
little just,634
day long,633
fall love,633
going way,633
see today,633
still can,633
back week,632
say can,632
see back,632
get another,631
im im,631
like idea,631
time things,631
welcome back,631
always make,630
anything can,630
game series,630
get even,630
get involved,630
make easier,630
one still,630
keep us,629
every morning,628
get every,628
going game,628
people always,628
see many,628
today like,628
two week,628
also first,627
around house,627
go right,627
press release,627
school districts,627
short time,627
state officials,627
get used,626
maybe one,626
said week,626
time know,626
give one,625
going come,625
said adding,625
said wanted,625
years time,625
happy monday,624
southern california,624
just thinking,623
let can,623
never let,623
new get,623
taking time,623
think little,623
gave us,622
just bought,622
like real,622
need said,622
see day,622
think u,622
will little,622
can long,621
can next,621
feel just,621
four days,621
free free,621
go make,621
life said,621
need find,621
will feel,621
first just,620
thanks man,620
think new,620
u going,620
get wrong,619
hope time,619
just long,619
one old,619
right will,619
got going,618
like years,618
made feel,618
one better,618
say things,618
able make,617
get follow,617
just fine,617
know work,617
life now,617
loved ones,617
per game,617
right way,617
someone will,617
watching game,617
work like,617
court judge,616
know lol,616
know us,616
like shit,616
little can,616
may also,616
quite bit,616
students school,616
can away,615
just stop,615
need need,615
got lot,614
got u,614
just twitter,614
monday morning,614
try new,614
want will,614
will hold,614
another great,613
come together,613
find something,613
love work,613
made decision,613
sure just,613
way time,613
enjoy day,612
need see,612
new soon,612
one may,612
want life,612
will world,612
always said,611
can remember,611
go without,611
going can,611
next months,611
since one,611
city city,610
many others,610
new school,610
obama said,610
one reason,610
oregon state,610
today just,610
today new,610
will part,610
also see,609
also used,609
man man,609
now got,609
watching tv,609
best year,608
can together,608
even make,608
like night,608
think may,608
time ever,608
day love,607
long get,607
millions dollars,607
time little,607
want talk,607
work week,607
another time,606
glad see,606
last couple,606
made last,606
makes happy,606
past week,606
rt time,606
things want,606
think want,606
u say,606
almost years,605
always will,605
like everyone,605
million people,605
people back,605
please back,605
right side,605
two run,605
another way,604
rt happy,604
think see,604
thought just,604
wonderful day,604
also just,603
good food,603
just start,603
people use,603
right one,603
time together,603
want time,603
can afford,602
know lot,602
love ya,602
someone just,602
always time,601
getting new,601
got two,601
just makes,601
looks great,601
old son,601
wanted see,601
can going,600
check us,600
just watch,600
never going,600
time much,600
big one,599
earlier month,599
first games,599
just hope,599
say get,599
will support,599
first like,598
hey guys,598
