n.gram,freq
u u,97185
right now,15519
new york,12166
year old,12080
last year,11959
last night,9643
high school,8932
can get,8852
feel like,8435
years ago,8344
first time,8042
last week,8032
let know,7360
looking forward,6966
just like,6868
looks like,6510
make sure,6449
happy birthday,6131
st louis,6079
one day,6068
even though,5746
just got,5708
one one,5650
can see,5644
will get,5612
happy day,5575
good morning,5392
every day,5343
new jersey,5291
just one,5235
get back,5176
can make,5004
look like,4978
two years,4885
next week,4876
will will,4798
united states,4699
good luck,4491
just get,4479
one time,4475
long time,4387
follow back,4354
los angeles,4344
next year,4343
thanks follow,4330
will make,4306
many people,4247
one thing,4135
every time,3972
love love,3956
will take,3954
go back,3851
san francisco,3796
one another,3732
sounds like,3714
social media,3704
just want,3642
one can,3585
can help,3573
new year,3559
best ever,3558
come back,3554
little bit,3537
great day,3533
said will,3495
like like,3455
will never,3377
will go,3306
three years,3242
health care,3231
san diego,3224
one will,3203
last month,3194
will see,3179
need get,3154
like one,3145
new new,3144
can go,3139
day day,3137
time get,3106
really good,3079
please follow,3078
love u,3070
next time,3051
really like,3037
will come,3000
know will,2993
last time,2991
one two,2958
wait see,2954
one best,2947
two weeks,2947
going get,2941
just time,2939
can say,2938
will one,2919
u s,2916
one year,2911
will next,2903
time time,2893
let us,2883
know can,2876
percent percent,2870
get get,2866
pretty much,2865
people like,2863
just know,2855
think will,2827
just said,2813
get one,2776
today day,2765
will back,2754
can can,2752
last years,2731
ice cream,2713
like just,2711
can one,2699
good day,2691
just go,2680
police said,2678
let go,2669
can find,2661
thanks rt,2658
want go,2628
look forward,2624
will time,2619
will new,2608
can take,2605
can just,2588
just say,2569
something like,2565
people will,2561
pretty good,2558
much better,2537
five years,2535
will help,2535
can tell,2534
good thing,2532
thank much,2515
new will,2504
thanks following,2504
like said,2502
just saw,2484
really want,2456
will soon,2439
trying get,2436
past years,2433
years old,2432
long term,2421
us us,2420
thanks much,2416
getting ready,2411
go get,2398
seems like,2398
great time,2378
want get,2373
want see,2372
get done,2370
two one,2370
last season,2363
people know,2358
will also,2347
first day,2344
think can,2341
one said,2335
four years,2330
just make,2315
join us,2313
love much,2311
first year,2308
people can,2307
just back,2286
time will,2282
much time,2276
good good,2273
felt like,2261
good time,2243
people get,2236
just now,2230
know going,2221
now time,2213
us know,2212
million million,2210
know know,2202
now just,2194
think just,2194
can use,2184
anyone else,2180
will always,2175
just right,2165
time year,2162
can also,2153
know like,2151
now can,2151
two days,2149
year year,2149
want know,2147
spend time,2136
people said,2130
things like,2127
take care,2120
even know,2119
now get,2116
feels like,2113
just little,2111
will give,2089
best friend,2086
get better,2085
just love,2080
first round,2074
president obama,2061
one ever,2049
like get,2046
one things,2038
many times,2027
last day,2024
really really,2024
new city,2020
will find,2011
one favorite,2009
just day,2008
officials said,2008
just going,2003
go go,2001
like can,1997
weeks ago,1992
real estate,1989
two ago,1983
hope well,1981
stay tuned,1978
u get,1972
e mail,1971
people just,1969
good one,1968
good night,1967
vice president,1966
go home,1962
will continue,1956
just can,1954
lot people,1951
got back,1949
just new,1946
can like,1943
get work,1942
looked like,1942
just see,1934
going said,1932
like time,1928
white house,1926
will work,1925
pretty sure,1922
take time,1918
someone else,1917
friday night,1914
just need,1910
now will,1903
know just,1898
much love,1898
come us,1896
like good,1896
many years,1895
one just,1894
see can,1893
people people,1892
time said,1888
feel better,1887
u know,1883
going back,1877
will year,1874
just good,1868
think going,1867
just much,1865
every year,1863
first two,1862
super bowl,1861
like see,1857
hope great,1854
get ready,1847
much fun,1846
will us,1839
get time,1837
will just,1837
next will,1836
know get,1835
know one,1833
said one,1825
year said,1821
u can,1820
back home,1816
last two,1815
just finished,1814
least one,1807
like people,1807
will able,1803
one way,1802
u said,1799
two three,1796
can u,1794
one person,1793
can still,1792
s o,1791
people want,1790
think like,1786
hope will,1785
will day,1781
day will,1779
hope see,1778
great weekend,1777
get said,1771
hard work,1770
now know,1770
can back,1768
good news,1766
million year,1764
rt rt,1764
another day,1761
new one,1755
will first,1754
coming soon,1742
much like,1736
supreme court,1730
will need,1730
can now,1728
happy new,1724
one get,1717
also said,1713
people say,1713
year ago,1712
like going,1711
one first,1711
tell us,1711
people think,1710
really just,1710
coach said,1709
will know,1709
one like,1707
go see,1704
hope day,1704
said statement,1700
can time,1697
first since,1697
next day,1696
new orleans,1686
really need,1686
sure will,1684
please please,1682
think one,1677
great job,1675
just two,1674
will like,1674
first one,1673
mothers day,1669
one last,1661
put together,1659
day today,1656
time go,1652
rt just,1647
great great,1645
need help,1643
just people,1641
saturday night,1640
follow follow,1638
makes sense,1638
back back,1634
full time,1633
get new,1632
law enforcement,1628
never know,1625
make better,1624
just way,1622
will keep,1621
know right,1620
just made,1616
many things,1614
city council,1610
first place,1608
get home,1607
york city,1601
like know,1598
way get,1596
really get,1593
get see,1590
like will,1588
ha ha,1580
thanks us,1580
cant wait,1578
know people,1578
one people,1577
going go,1573
good job,1573
will end,1573
get can,1569
good bad,1566
can work,1565
every single,1561
around world,1560
make one,1558
one week,1557
