n.gram,freq
u u,21492
right now,15252
new york,11967
year old,11738
last year,11189
last night,9322
high school,8692
years ago,8277
feel like,7896
last week,7734
first time,7464
looking forward,6945
can get,6629
make sure,6329
st louis,6009
looks like,5949
even though,5624
happy birthday,5406
good morning,5086
new jersey,5056
just got,5030
let know,4941
one day,4883
next week,4723
united states,4678
every day,4578
good luck,4417
can see,4381
two years,4379
los angeles,4337
look like,4189
just like,4130
next year,4056
thanks follow,4011
long time,3825
san francisco,3771
social media,3638
can make,3620
every time,3578
one thing,3531
follow back,3517
sounds like,3472
get back,3424
many people,3417
will get,3412
little bit,3386
go back,3355
come back,3317
san diego,3186
health care,3118
will take,3092
last month,3051
will never,3009
will make,2893
three years,2853
next time,2824
great day,2821
just one,2813
two weeks,2789
pretty much,2779
can help,2775
just want,2725
let us,2688
new year,2675
ice cream,2668
wait see,2650
look forward,2592
really good,2517
please follow,2458
last time,2385
long term,2379
much better,2367
five years,2353
thanks rt,2324
u s,2316
good thing,2296
thanks following,2280
join us,2276
seems like,2269
pretty good,2268
years old,2262
thanks much,2259
just saw,2256
thank much,2251
one best,2221
will go,2215
one time,2193
getting ready,2188
can go,2167
anyone else,2163
four years,2113
need get,2109
trying get,2086
will come,2071
felt like,2055
will also,2038
can say,2032
let go,2026
can find,2020
want go,1991
best friend,1987
real estate,1984
weeks ago,1982
stay tuned,1976
going get,1975
want see,1975
feels like,1968
e mail,1965
really want,1951
vice president,1946
last season,1945
can take,1936
take care,1926
will always,1923
can tell,1922
first round,1911
good day,1909
great time,1900
many times,1900
two days,1890
white house,1889
will help,1874
pretty sure,1873
can also,1857
will see,1853
super bowl,1850
someone else,1837
us know,1816
something like,1807
police said,1803
time get,1793
officials said,1784
friday night,1781
much fun,1754
s o,1752
really like,1750
one year,1725
just finished,1724
will continue,1701
first day,1693
just get,1689
supreme court,1689
love u,1682
one favorite,1680
looked like,1671
good news,1667
one can,1667
new orleans,1661
one two,1657
every year,1604
good night,1603
mothers day,1602
law enforcement,1599
year ago,1583
saturday night,1579
great job,1578
people will,1569
go home,1564
cant wait,1562
hard work,1554
get better,1551
last day,1549
things like,1545
york city,1539
even know,1537
can use,1533
will give,1531
least one,1523
next day,1522
every single,1520
want get,1519
back home,1517
city council,1517
good time,1504
like one,1502
everyone else,1501
want know,1501
tell us,1497
thank god,1496
coming soon,1494
much love,1492
years later,1489
many years,1480
hope see,1476
one another,1473
las vegas,1471
feel better,1467
lot people,1463
get ready,1458
think can,1458
around world,1457
first place,1450
great weekend,1448
know can,1441
full time,1439
really need,1430
oh yeah,1426
happy hour,1423
good job,1422
much time,1419
kansas city,1415
executive director,1411
barack obama,1407
oh well,1404
happy new,1402
one person,1397
wall street,1394
parking lot,1389
school district,1384
think will,1376
good idea,1370
help us,1367
get one,1365
people like,1354
time year,1353
coming back,1350
will find,1350
six months,1349
can still,1347
people can,1347
now just,1340
give us,1338
will able,1334
just say,1332
real life,1332
hunger games,1331
first half,1325
second half,1324
north carolina,1310
just need,1309
months ago,1308
love love,1306
regular season,1299
couple weeks,1298
never seen,1298
just wanted,1296
makes sense,1296
last two,1293
spend time,1285
next month,1274
something else,1268
ohio state,1267
last years,1265
never know,1265
rt rt,1265
u know,1265
said statement,1261
also said,1258
people know,1255
happy friday,1251
going back,1246
feel free,1244
can just,1240
first two,1236
r u,1236
beautiful day,1231
family friends,1222
friends family,1217
take place,1215
late night,1211
good one,1210
know will,1210
u can,1209
put together,1207
came back,1203
first quarter,1202
living room,1202
like see,1201
chief executive,1198
ever seen,1198
now can,1193
olive oil,1192
mitt romney,1190
family members,1186
go get,1184
anything else,1182
t shirt,1182
thank u,1181
three times,1177
take time,1172
day day,1171
three days,1170
best way,1169
now know,1168
need help,1164
really really,1162
president barack,1161
one way,1159
one point,1157
got back,1156
much like,1156
come see,1155
just made,1151
way go,1148
ha ha,1147
recent years,1147
cell phone,1142
even better,1141
love much,1140
ever since,1136
wanna go,1136
make sense,1133
several years,1132
associated press,1129
hip hop,1129
last minute,1129
oh god,1129
hope well,1126
nothing like,1126
many things,1125
hope everyone,1124
three months,1123
world war,1123
first year,1122
god bless,1118
want make,1117
brand new,1115
know going,1114
good enough,1110
middle school,1110
two three,1110
will need,1108
past years,1107
state university,1104
president obama,1102
makes feel,1098
tomorrow night,1097
b c,1092
feel good,1091
sound like,1091
couple days,1087
u fffd,1087
going go,1086
yet another,1086
two hours,1083
across country,1082
ready go,1081
can come,1080
happy mothers,1074
will keep,1072
federal government,1071
along way,1069
hope great,1066
way back,1065
men women,1064
just love,1058
just go,1057
police department,1056
go see,1054
big deal,1053
well known,1052
merry christmas,1051
best thing,1049
blog post,1049
going make,1044
jesus christ,1042
two months,1042
now time,1041
day today,1039
general manager,1037
spring break,1037
get rid,1035
able get,1033
get home,1032
see can,1029
young people,1029
another day,1027
will probably,1025
facebook page,1024
head coach,1019
find way,1018
make feel,1018
first thing,1017
will work,1014
love see,1013
far away,1010
u r,1010
one one,1009
new followers,1004
old man,1004
people think,1004
back work,1003
black white,1001
go away,994
will likely,992
people say,990
go ahead,988
got home,987
several times,987
great way,985
san jose,983
medical center,978
early morning,977
end day,976
couple years,974
thanks sharing,973
another one,970
awkward moment,970
middle class,969
monday night,968
never get,966
pleaded guilty,966
fourth quarter,965
can never,962
follow us,962
way get,959
time go,958
either way,957
rt just,956
need go,951
went back,950
will try,949
forward seeing,948
just make,948
bay area,946
will play,946
will start,946
can give,945
think going,945
can u,944
set aside,944
come true,942
said will,940
finally got,939
hope can,938
just little,938
st charles,938
go sleep,937
whole thing,937
get away,936
south africa,935
anyone know,934
hall fame,933
last summer,933
try get,933
people just,932
get free,930
back forth,926
never heard,926
time will,925
will follow,925
thursday night,924
people get,923
like good,920
little girl,920
good things,918
long way,918
think just,917
social security,915
something new,914
sure will,914
